id,text,author,link,category,date_of_publication,number_of_tokens,number_of_words_without_punctuation,number_of_types,number_of_links_inside_the_news,number_of_words_in_upper_case,number_of_verbs,number_of_subjunctive_and_imperative_verbs,number_of_nouns,number_of_adjectives,number_of_adverbs,number_of_modal_verbs,number_of_singular_first_and_second_personal_pronouns,number_of_plural_first_personal_pronouns,number_of_pronouns,pausality,number_of_characters,average_sentence_length,average_word_length,percentage_of_news_with_spelling_errors,emotiveness,diversity
1461,"Internauta relata o ""dia da mentira"" nos frigoríficos: ""Os fiscais chegam e eles escondem a carne podre"".  Leia abaixo o relato de uma professora universitária postado nas redes sociais:.  Tenho alunos que trabalharam no ""frigorífico"" local e já ouvi de muitos sobre o que os funcionários chamam de ""Dia da mentira"". É quando eles sabem que virá a fiscalização (sim, é avisado porque os fiscais são ""vendidos"") e guardam a carne com bicheiras em caminhões baú e apresentam apenas o que foi abatido no dia [...] também dão uma higienizada no local. Quando os fiscais vão embora, as carnes são retiradas dos caminhões com muita mosca e cheiro insuportável, além das carnes que são devolvidas do exterior e chegam roxas, mas aplicam um produto para que a cor pareça ""mais agradável"" para serem vendidas no mercado local. Essas histórias eu ouço há mais de 5 anos por diversos alunos. Perguntem para quem já trabalhou lá, infelizmente só hoje veio à público, mas nunca é tarde.",None,https://www.diariodobrasil.org/internauta-relata-o-dia-da-mentira-nos-frigorificos-os-fiscais-chegam-e-eles-escondem-a-carne-podre15/,tv_celebridades,18/03/2017,196,164,117,0,1,37,3,35,9,17,6,1,0,14,2.90909,773,14.9091,4.71341,0.0,0.361111,0.713415
1832,"Colunista do Globo diz que delatores da Odebrecht estão sofrendo ameaças de morte. .  Após a primeira bomba lançada pelo ex-executivo da Odebrecht,  Cláudio Melo Filho,  envolvendo 51 políticos e 11 partidos,  as ameaças começaram a acontecer. Uma longa lista com diversos políticos envolvidos em recebimento de propinas,  seus respectivos apelidos e os valores recebidos foi divulgada em toda a rede. A PF tem que cuidar da proteção desses delatores ou eles começarão a sumir [...] um a um.",None,https://www.diariodobrasil.org/colunista-do-globo-diz-que-delatores-da-odebrecht-estao-sofrendo-ameacas-de-morte/,tv_celebridades,13/12/2016,89,78,63,0,1,14,0,21,6,1,5,0,0,6,1.22222,393,8.66667,5.03846,0.0,0.2,0.807692
3600,"Mulher bêbada invade Planalto e diz que é ""marido"" da presidente Dilma.  Uma mulher de 29 anos identificada como Edmeire Celestino da Silva invadiu o Palácio do Planalto e foi contida pelos seguranças presidenciais.  Edmeire estava bêbada e gritava que queria se casar com a presidente Dilma. A moça ignorou tiros de balas de borracha dados como advertência e trocou socos com um dos seguranças. Totalmente confusa,  a cidadã gritou até ficar rouca e dizia para todos que era o ""marido"" da Dilma. O Corpo de Bombeiros foi chamado e encaminhou a ""esposa"" da Dilma para um albergue.",None,https://www.diariodobrasil.org/mulher-bebada-invade-planalto-e-diz-que-e-marido-da-presidente-dilma/,sociedade_cotidiano,13/09/2012,111,98,68,0,0,20,0,27,6,2,2,0,0,4,1.85714,467,14.0,4.76531,0.0,0.170213,0.693878
792,"Você usaria? Na China, mulheres aderem à meia calça com pêlos para afastar pervertidos. .  Trata-se de uma meia calça que imita uma perna peluda. O assessório foi criado para ser usada por mulheres e afastar maníacos e pervertidos. Na China, diversos homens ultrapassam os limites do bom senso e acabam assediando mulheres, principalmente dentro dos transportes públicos. ""Supersexy, meia cheia de pelos antipervertidos para ser usada neste verão. Essencial para as jovens que saem por aí"" , diz o anúncio do fabricante. De acordo com a marca, o produto é tão realista que pode ser confundido com uma perna masculina de verdade. Ainda não há previsão de venda no Brasil.",None,https://www.diariodobrasil.org/voce-usaria-na-china-mulheres-aderem-a-meia-calca-com-pelos-para-afastar-pervertidos/,sociedade_cotidiano,12/09/2017,127,110,80,0,0,25,0,25,12,6,6,0,0,5,1.7,540,11.0,4.90909,0.0181818,0.36,0.727273
74,"Dilma entrará na Justiça pra anular impeachment. O voto de Gilmar Mendes abriu dois caminhos jurídicos para a anulação do impeachment e o advogado da ex-presidente pretende recolocar Dilma de volta ao poder antes do final de 2017.

Após a chapa Dilma-Temer ser absolvida no Tribunal Superior Eleitoral (TSE), o advogado da ex-presidente, Flavio Caetano, afirmou que o julgamento reforça que houve golpe no Parlamento contra o Estado de Direito e a Constituição e disse que dois argumentos do ministro Gilmar Mendes poderão ser utilizados no Supremo Tribunal Federal no processo em que Dilma busca pede a anulação do impeachment.  O advogado destacou o voto de Gilmar como argumento para anular o impeachment. Houve duas manifestações hoje muito importantes do ministro Gilmar Mendes, que é presidente da Corte e ministro do STF. A primeira é a defesa do princípio da soberania do voto popular. E a segunda é que vivemos em um semiparlamentarismo, em que quem não tiver maioria no Congresso perde o cargo, disse Caetano.

Caetano disse que, com a sessão desta sexta, foi a terceira vez que a campanha foi julagada. A primeira vez foi aquela em que as contas foram aprovadas por unanimidade. Na segunda vez, reconheceu que as urnas não foram fraudadas, disse. Consideramos que a Justiça foi feita ao preservar direitos políticos de Dilma Rousseff, disse.

A ação proposta pelo PSDB contra a chapa presidencial, sob a acusação de abuso de poder econômico e político nas eleições de 2014, foi rejeitada por 4 votos, de Gilmar, Admar Gonzaga, Napoleão Nunes Maia e Tarcísio Vieira, contra 3 votos, de Herman Benjamin, Rosa Weber e Luiz Fux.",Josias Oliveira,https://afolhabrasil.com.br/politica/dilma-entrara-na-justica-pra-anular-impeachment/,politica,2017-06-11,311,273,154,0,3,44,1,82,13,7,7,0,0,6,2.92308,1326,21.0,4.85714,0.00732601,0.15873,0.564103
2421,"Jornalista australiano destrói a imagem da Rio 2016: ""Favela olímpica,  mar fedorento,  dengue e bandidos"".  Richard Hinds,  jornalista do The Daily Telegraph ,  não poupou críticas à Vila Olímpica e fuzilou: ""É uma favela olímpica"".  (João Pedro Diniz  exclusivo para o Diário do Brasil) O artigo foi publicado hoje (26) Hinds disse: ""Nossos conterrâneos australianos não gostaram da tentativa do Comitê Organizador de substituir a tradicional Vila Olímpica por uma Favela Olímpica,  ao estilo Rio. Isso dará aos atletas a chance de experimentar as condições de vida de boa parte dos brasileiros,  para quem água encanada,  esgoto e paredes são opcionais extras"" ,  escreveu o colunista. O jornalista ainda detonou as condições do Velódromo (pista artificial que receberá provas de ciclismo),  que está com a pista suja e faz os ciclistas escorregarem,  e da poluída Baía da Guanabara,  onde serão realizadas as competições de vela. ""Alguns ciclistas já estão conseguindo parar de pé no velódromo,  e o cheiro do mar teve a classificação diminuída de ""corpo apodrecendo"" para ""saco de peixes esquecido no sol"" ,  escreveu. Com relação à segurança na cidade maravilhosa,  Hinds foi irônico: ""Eu e meus seis guarda-costas armados andamos tranquilamente pelos hotéis e pelas piscinas sem nenhuma ameaça significativa até agora"" Sobre o vírus Zika,  ele disparou: ""O Comitê Organizador me garantiu que,  após aplicação de repelente de mosquitos,  é perfeitamente seguro apreciar tudo o que o Rio tem a oferecer. Também me garantiram que todos os atletas roubados e sequestrados por bandidos armados serão soltos a tempo de disputarem suas competições"" ,  finalizou. leia também:",None,https://www.diariodobrasil.org/jornalista-australiano-destroi-a-imagem-da-rio-2016-favela-olimpica-mar-fedorento-dengue-e-bandidos/,sociedade_cotidiano,26/07/2016,310,257,180,3,1,47,1,71,16,12,4,3,0,17,5.88889,1341,28.5556,5.2179,0.0,0.237288,0.700389
383,"Hóspede cumprimenta Lula dentro de hotel: "" E aí ladrão ? "".  Moradora de Fortaleza surpreende Lula em hotel: ""Aparece safado ... bota tua cara na janela"".  É óbvio que temos que ter o mínimo de respeito com as pessoas, principalmente em ambientes públicos. Por mais que nossas opiniões sejam divergentes em relação a algum assunto, isso não nos dá o direito de ofender, xingar ou maltratar o próximo. Mas que esse fato foi engraçado [...] ahhh, isso foi. Seria trágico se não fosse cômico! Repare que Lula, ao lado do ex-ministro da Casa Civil, Jaques Wagner, caminha normalmente em um corredor de hotel, quando um dos hóspedes (sentado em uma poltrona) surpreende o ex-presidente e solta um grito: "" E aí ladrão ?!?! "" ... Lula olha imediatamente para o hóspede, mas é contido por Jaques Wagner, que coloca a mão em suas costas, como se quisesse dizer: ""Deixa pra lá,vamos embora"" O vídeo foi divulgado no Youtube pelo próprio internauta confira: leia também:",None,https://www.diariodobrasil.org/hospede-cumprimenta-lula-dentro-de-hotel-e-ai-ladrao/,tv_celebridades,14/01/2018,201,159,121,2,1,35,6,38,5,11,4,0,1,11,2.8,743,10.6,4.67296,0.00628931,0.219178,0.761006
830,"Há 10 anos, o antagonista Diogo Mainardi avisou: ""Lula é um homem medíocre ... um pelego oportunista"".  Vale a pena rever a entrevista do jornalista Diogo Mainardi para o programa do Jô, em 2007.  "" O Lula é um homem medíocre, é um pelego oportunista que age de acordo com as conveniência do momento. Ele é o espelho das nossas idéias mais regressivas, do atraso, do temperamento mais arcaico e retrógrado "" assista:",None,https://www.diariodobrasil.org/ha-10-anos-o-antagonista-diogo-mainardi-avisou-lula-e-um-homem-mediocre-e-um-pelego-oportunista/,tv_celebridades,04/09/2017,84,70,49,0,0,9,1,22,6,3,0,0,0,3,2.0,325,10.0,4.64286,0.0142857,0.290323,0.7
2697,"Teori poderá liberar inquéritos sobre Lula a qualquer momento. Caso irá para Curitiba.  Há exatos 30 dias,  Procuradores da Lava Jato pediram ao ministro do STF Teori Zavascki a devolução [para a 13a. Vara de Curitiba] dos inquéritos envolvendo o ex-presidente Lula.  Durante a manobra de Dilma para nomear Lula Ministro Chefe Casa Civil,  o petista passou a ter foro privilegiado e ao menos cinco investigações contra o ex-presidente foram enviadas para o STF. O sítio em Atibaia,  o tríplex no Guarujá e valores recebidos de empreiteiras são investigados nesses inquéritos. A petição foi enviada depois após o afastamento de Dilma do cargo de presidente. Integrantes da força-tarefa dizem que,  nesse caso,  o ministro está demorando mais do que o habitual para deliberar. Caso o processo seja liberado por Teori e enviado para a ""República de Curitiba"" ,  o juiz Federal Sérgio Moro cuidará desses documentos com muito carinho!",None,https://www.diariodobrasil.org/teori-podera-liberar-inqueritos-sobre-lula-a-qualquer-momento-caso-ira-para-curitiba/,politica,08/06/2016,167,151,105,0,2,22,1,47,4,2,6,0,0,2,1.77778,752,16.7778,4.98013,0.0,0.0869565,0.695364
465,"Teste nuclear da Coreia matou mais de 200 pessoas e radiação pode se espalhar. .  A TV japonesa Asahi informou que o último teste nuclear realizado na base de testes norte-coreana de Punggye-ri, nordeste do país, deixou mais de 200 vítimas fatais. No início de setembro, a Coréia do Norte detonou um dispositivo nuclear sob uma montanha. Especialistas avaliam ser uma bomba de hidrogênio , dez vezes mais poderosa do que as primeiras bombas atômicas lançadas no Japão no final da Segunda Guerra Mundial. Desde então, imagens de satélite revelaram que a montanha acima do local de testes já sofreu uma série de deslizamentos de terra resultantes de uma série de explosões. Fontes norte-coreanas disseram à TV Asahi que, inicialmente um dos túneis matou 100 trabalhadores e outras 100 pessoas que trabalhavam no resgate desses trabalhadores. Além disso, com a base de testes comprometida, o material radioativo deixado pela explosão corre um sério risco de causar um incidente internacional de grandes proporções. ""Se os detritos do teste chegarem à China, Pequim poderá entender isso como um ataque a seu país e uma provável guerra será praticamente inevitável."" disseram os especialistas.",None,https://www.diariodobrasil.org/teste-nuclear-da-coreia-matou-mais-de-200-pessoas-e-radiacao-pode-se-espalhar/,sociedade_cotidiano,13/12/2017,209,191,130,1,2,23,1,60,16,9,2,0,0,7,1.63636,974,17.3636,5.09948,0.0,0.301205,0.680628
2033,"Ator da Globo entra no carro da PM e persegue bandidos que roubaram sua moto.  A PM do Rio de Janeiro recuperou hoje (25) a moto do ator Nelson Freitas,  da TV Globo.  Emocionado,  o ator fez questão de agradecer os policiais que par ticiparam da operação. ""Espero que esse vídeo vire uma referência [...] e todos que tiveram a ajuda dos policiais brasileiros possam gravar tais agradecimentos. Farei questão de postá-los aqui"" disse.",None,https://www.diariodobrasil.org/ator-da-globo-entra-no-carro-da-pm-e-persegue-bandidos-que-roubaram-sua-moto/,sociedade_cotidiano,25/10/2016,87,74,57,0,3,15,2,22,2,2,1,0,0,8,1.44444,340,8.22222,4.59459,0.0135135,0.108108,0.77027
2228,"Lava-Jato investiga apto do presidente da CUT. Imóvel está registrado em nome da empreiteira OAS. .  A força-tarefa da Lava-Jato investiga outros empreendimentos que eram da Bancoop e foram assumidos pela OAS. Os investigadores apuram crimes de sonegação e ocultação patrimonial,  além de indícios de que parte dos imóveis tenha sido usada para repasse de propina Um dos apartamentos investigados é o do presidente da Central Única dos Trabalhadores (CUT),  Vagner Freitas,  dono de imóvel registrado em nome da empreiteira OAS em bloco do Residencial Altos do Butantã,  na Zona Oeste de São Paulo. O apartamento tem área total de 100, 6 metros quadrados e está situado no segundo andar do bloco B do residencial,  no bairro Butantã. Freitas negou qualquer crime e disse ter comprovantes de quitação do imóvel. Ele disse que,  apesar de ter pagado pelo apartamento ""há três ou quatro anos"",  ainda não tomou providências para alterar o registro em cartório. O juiz Sérgio Moro atendeu ao pedido do Ministério Público Federal (MPF) de determinar a apreensão,  nas sedes da OAS e da Bancoop,  de documentos referentes a quatro empreendimentos,  entre eles o Altos do Butantã,  onde Vagner tem seu apartamento,  e o Mar Cantábrico,  atual condomínio Solaris,  no Guarujá,  onde a família do ex-presidente Lula teria sido dona de apartamento que atualmente está em nome da OAS e foi o único a passar por uma reforma bancada pela construtora. Vagner dividiu com Vaccari funções na Bancoop; em 2007,  o atual presidente da CUT assinou pareceres na condição de conselheiro fiscal da cooperativa.",None,https://www.diariodobrasil.org/lava-jato-investiga-apto-do-presidente-da-cut-imovel-esta-registrado-em-nome-da-empreiteira-oas/,politica,31/08/2016,289,259,158,0,10,37,2,82,15,5,5,0,0,9,2.72727,1278,23.5455,4.93436,0.0,0.168067,0.610039
3159,"Ministro da Justiça abandona o barco. Cardoso deve entregar o cargo nesta semana.  José Eduardo Cardozo ,  atual ministro da Justiça,  deverá deixar o cargo nesta semana,  de acordo com informação da colunista Mônica Bérgamo,  da Folha/SP.  Integrantes da equipe da presidente Dilma Rousseff afirmam que ele já tomou a decisão,  e,  embora a presidente quisesse manter Cardoso na pasta,  o ministro não voltará atrás da sua decisão. Ambos já teriam conversado sobre a demissão. A Folha também informou que Cardoso talvez seja aproveitado em outro cargo do alto escalão do governo Dilma. Cardoso deixa o governo enquanto a presidente Dilma está sendo alvo de denúncias que podem envolver a sua campanha eleitoral em escândalos relacionados ao Petrolão. Após a prisão do marqueteiro João Santana,  Dilma está cada vez mais distante do PT. Amigos do ministro revelaram que a pressão sobre Cardozo,  vinda do PT e de representantes de setores empresariais,  chegou a limites ""intoleráveis"". O ministro estaria sofrendo críticas ""injustas tanto dos governistas quanto da oposição"".",None,https://www.diariodobrasil.org/ministro-da-justica-abandona-o-barco-cardoso-deve-entregar-o-cargo-nesta-semana/,politica,29/02/2016,190,167,111,0,3,26,2,58,7,10,7,0,0,7,2.09091,873,15.1818,5.22754,0.0,0.202381,0.664671
755,"Desembargador manda recado ao povo: ""É hora de destituir o Presidente e fechar o Congresso"".  Laércio Laurelli é desembargador aposentado do TJ de SP e apresentador do programa ""Direito e Justiça em foco"".  Veja o recado que ele manda ao povo: ""Como não há mais confiança e credibilidade nos representantes eleitos, não há outra solução se não o povo agir diretamente e convocar as Forças Armadas"" disse Laércio. Laurelli aconselhou o povo brasileiro a ler o artigo 142 da CF.",None,https://www.diariodobrasil.org/desembargador-manda-recado-ao-povo-e-hora-de-destituir-o-presidente-e-fechar-o-congresso/,sociedade_cotidiano,18/09/2017,93,80,58,1,4,16,3,26,1,4,0,0,0,4,2.6,382,16.0,4.775,0.0,0.119048,0.725
624,"Há 43 anos, Ernesto Geisel avisou: ""Chegará um tempo em que o povo sentirá saudades dos militares"". .  Geisel foi o 29o Presidente do Brasil (1974 a 1979) durante o regime militar brasileiro. Em 1974, ele profetizou: ""Se é a vontade do povo brasileiro eu promoverei a Abertura Política no Brasil. Mas chegará um tempo que o povo sentirá saudade do Regime Militar. Pois muitos desses que lideram o fim do Regime não estão visando o bem do povo, mas sim seus próprios interesses."" Será que ele tinha razão?",None,https://www.diariodobrasil.org/ha-43-anos-ernesto-geisel-avisou-chegara-um-tempo-em-que-o-povo-sentira-saudades-dos-militares/,politica,12/10/2017,106,88,62,0,0,14,0,23,5,3,1,1,0,9,2.57143,397,12.5714,4.51136,0.0,0.216216,0.704545
2425,"Suplicy agiu como uma criança mimada! Polícia Militar carregou o ""vovô"" com todo cuidado!.  Antes que a ""petralhada"" comece com o ""chororô"",  devo dizer que admiro o político Eduardo Suplicy.  (Patrícia Carvalho para o Diário do Brasil) O candidato a vereador pelo PT Eduardo Suplicy,  75,  foi detido hoje (25) pela Polícia Militar após protestar contra uma reintegração de posse na Zona Oeste de SP. Detalhe: Suplicy foi detido! Apenas detido! Ele não foi preso [...] não foi algemado [...] enfim,  apenas foi detido! Em vários vídeos que foram divulgados nas redes sociais,  dá pra ver a cautela e o cuidado que a PM teve com o idoso. A mídia petista conseguiu transformar o fato em uma bizarrice! A impressão que se tem é que o político foi agredido,  algemado e colocado em um calabouço. Eduardo Suplicy é um político íntegro,  ativo,  carismático,  enfim,  um homem que tem uma bela carreira política. Suplicy é rico,  muito rico. Nunca precisou se envolver com escândalos de corrupção para arrecadar dinheiro para campanhas. É um cidadão acima de qualquer suspeita. Mas o que se passa na cabeça de um homem de 75 anos que se deita no chão para impedir o trabalho da justiça? Será que os petistas acham que estão acima da lei ? Ou o vovô estaria fazendo um marketing agressivo para a próxima campanha política? A reintegração de posse foi pedida pela prefeitura do PT,  partido do qual o vovô faz parte. Ao invés de se deitar no chão,  ele não poderia ter conversado com o prefeito e pedido a suspensão da reintegração? Digo e repito: Ele é um bom homem,  mas agiu como um petista mimado!",None,https://www.diariodobrasil.org/suplicy-agiu-como-uma-crianca-mimada-policia-militar-carregou-o-vovo-com-todo-cuidado/,politica,25/07/2016,327,274,159,0,5,56,1,69,15,12,10,0,0,19,3.11765,1245,16.1176,4.5438,0.00729927,0.216,0.580292
2044,"Senadora do PT confessa que pediu ""formalmente"" para Polícia Legislativa obstruir trabalhos da PF.  A senadora petista Gleisi Hoffmann,  que está mais enrolada que rabo de leitão,  publicou:.  ""Após a operação de busca e apreensão realizada em minhas residências de Brasília e em Curitiba,  que acabou resultando na prisão de meu marido Paulo Bernardo,  solicitei ao Senado que a Polícia Legislativa ,  dentro de suas atribuições legais,  realizasse uma verificação e uma varredura eletrônica nas residências . Fiz o pedido formalmente"" O mais engraçado é que a parlamentar tentou arrumar a situação e acabou fazendo uma ""caga#$"" ainda maior. A senadora disse que pediu formalmente [...] pediu formalmente o quê? Que a Polícia Legislativa retirasse os grampos da PF? Nada foi encontrado nos aptos de Gleisi,  mas essa nota de esclarecimento mostra que o objetivo da parlamentar era retirar posssíveis grampos da PF [...] o que classifica essa ação como obstrução da Justiça.",None,https://www.diariodobrasil.org/senadora-do-pt-confessa-que-pediu-formalmente-para-policia-legislativa-obstruir-trabalhos-da-pf/,politica,21/10/2016,178,149,98,0,4,29,2,39,7,7,3,0,0,12,2.41667,780,12.4167,5.2349,0.00671141,0.205882,0.657718
878,"Temer sobre encontros noturnos (fora da agenda): ""Faço o que eu quiser e na hora que eu quiser"".  Michel Temer (PMDB) concedeu uma entrevista para o jornalista Kennedy Alencar, do SBT.  O presidente foi questionado sobre seus encontros fora da agenda oficial e em horários ... digamos ... notívagos. Veja o que ele respondeu: ""Eu converso com quem eu quiser, na hora que eu achar mais oportuno e onde eu quiser "" , disse. ""Quem acha que 10 da noite é tarde deve ser porque acha que ninguém pode trabalhar depois das seis"", defendeu. Resumindo: O cidadão é funcionário público, desfruta de mordomias pagas com dinheiro público, não foi eleito pelo voto direto, foi citado na Lava-Jato e ainda acha que o Brasil é a casa da Mãe Joana!",None,https://www.diariodobrasil.org/temer-sobre-encontros-noturnos-fora-da-agenda-faco-o-que-eu-quiser-e-na-hora-que-eu-quiser/,politica,25/08/2017,153,126,87,0,2,32,6,26,5,6,5,6,0,15,2.25,569,10.5,4.51587,0.0,0.189655,0.690476
2280,"Renan Calheiros reage à provocação de Lindbergh e dá um empurrão no petista: ""Tira a mão de mim"".  Lindbergh é o tipo de pessoa que provoca, provoca, provoca e,  quando a pessoa do outro lado reage,  ele sai correndo e banca o coitadinho..  Assim ele tem feito com Ronaldo Caiado desde o início do processo do impeachment no senado,  em maio deste ano. Desta vez,  a vítima do ""coitadismo"" de Lindbergh foi o presidente da casa,  Renan Calheiros. O petista cruza os braços e começa o falatório no microfone de Renan,  impedindo o presidente de falar. Quando Renan chega no limite da paciência,  ele empurra o petista. Era tudo que Lindbergh queria! Essa será a estratégia do PT até o encerramento do processo: Provocar os parlamentares até o limite extremo!",None,https://www.diariodobrasil.org/renan-calheiros-reage-a-provocacao-de-lindbergh-e-da-um-empurrao-no-petista-tira-a-mao-de-mim25/,politica,26/08/2016,152,130,81,0,1,22,0,45,1,4,2,0,0,9,2.75,595,16.25,4.57692,0.0,0.0746269,0.623077
1029,"Deputado diz que Sérgio Moro não tem caráter: ""Condenou Lula a 9 anos porque ele tem 9 dedos"". .  Todos conhecem Jean Wyllys e suas atitudes infantis ... isso é fato! Além de ser um péssimo parlamentar (que não representa os anseios da população brasileira), Jean se esconde atrás do FORO PRIVILEGIADO para atacar as autoridades do país [...] coisa típica de um comunista. Após a divulgação da sentença do ex-presidente Lula, o deputado ""Big Brother"" divulgou um vídeo e decidiu vomitar asneiras pela internet. confira o festival de besteiras:",None,https://www.diariodobrasil.org/deputado-cuspidor-diz-que-moro-nao-tem-carater-condenou-lula-a-9-anos-porque-ele-tem-9-dedos/,politica,12/07/2017,106,88,72,0,2,13,1,29,4,2,0,0,0,6,1.63636,429,8.0,4.875,0.0,0.142857,0.818182
2325,"Francês que perdeu a medalha de ouro não conversa com brasileiro campeão.  Thiago Braz conquistou um título inédito para o Brasil no salto com vara.  Thiago é jovem (tem apenas 22 anos) e demonstrou ser humilde,  focado e esbanjou simpatia. O brasileiro participou de um confronto direto com o francês Renaud Lavillenie,  que foi medalhista de prata. Braz revelou que o francês não conversa com ele desde o ano passado. "" Tem um ano mais ou menos que o Renaud não fala comigo. Não sei o que houve. Aconteceu depois que troquei meu treinador. Realmente eu não entendo"" disse Thiago. O francês tentou desconversar: "" Não falo direito com o Thiago porque não temos nos encontrado muito em grandes competições. Ele mora na Itália e eu na França."" disse Renaud. E continuou: ""Thiago não é meu melhor amigo. Estou no esporte para competir e não para fazer amigos."" E para finalizar,  o francês ainda postou a seguinte mensagem nas redes socais: ""Eu não aceito que me vaiem em um salto olímpico.  Obrigado aos franceses que estavam no estádio e me apoiaram. Os outros,  divirtam-se em me criticar,  isso me faz rir""",None,https://www.diariodobrasil.org/frances-que-perdeu-a-medalha-de-ouro-nao-conversa-com-brasileiro-campeao/,politica,16/08/2016,222,190,123,0,0,44,2,40,10,16,1,8,1,20,1.88235,875,11.1765,4.60526,0.0,0.309524,0.647368
2776,"Boechat: ""Jucá tem a obrigação de revelar o esquema do Aécio. Qual é o esquema de Aécio,  sr. Jucá?"".  Como é que Michel Temer vai achar que tem moral na vida pública com um ministro capaz de produzir esse tipo de coisa?.  Gravações apontaram que o atual ministro do Planejamento sugeriu um pacto para parar a Lava-Jato [ leia mais ...] Na conversa,  Jucá [atual ministro de Temer] disse que seria necessária uma resposta política: ""Se é político,  como é a política? Tem que resolver essa porra. Tem que mudar o governo para estancar essa sangria "" ,  disse Jucá se referindo à Operação LAva-Jato. O jornalista Ricardo Boechat comentou a situação e disse que Romero Jucá aparece na linha de frente de uma revelação absolutamente escandalosa. ""O sr. Romero Jucá se torna [a partir de hoje] uma figura insustentável dentro do governo de Michel Temer"" ,  disse Boechat. confira: (vídeo via BAND )",None,https://www.diariodobrasil.org/boechat-juca-tem-a-obrigacao-de-revelar-o-esquema-do-aecio-qual-e-o-esquema-de-aecio-sr-juca/,politica,23/05/2016,182,150,91,2,1,28,2,47,9,8,3,0,0,6,2.46154,695,11.5385,4.63333,0.0,0.226667,0.606667
1890,"Renan declara guerra ao judiciário e quer votar projeto que ""salva criminosos"" ainda esta noite.  A Globo News informou agora pouco que o presidente Renan Calheiros articula uma reação à Lava Jato.  Renan quer aprovar o requerimento de urgência para apreciação do projeto anticorrupção,  votado ontem pela Câmara dos Deputados na calada da noite. Mais cedo,  ele disse que não votaria o projeto este ano. Ele mudou de idéia. Agora ele quer destruir o judiciário.",None,https://www.diariodobrasil.org/renan-declara-guerra-ao-judiciario-e-quer-votar-projeto-que-salva-criminosos-ainda-esta-noite/,politica,30/11/2016,85,75,60,0,0,14,0,20,4,6,0,0,0,6,1.42857,374,10.7143,4.98667,0.0133333,0.294118,0.8
1135,"Herman Benjamin: Ministro digno. Uma voz solitária na luta contra a corrupção. .  Só faltou Herman Benjamin se ajoelhar no plenário e pedir a seus pares: ""Pelo amor de Deus, fomos roubados. Vamos fazer alguma coisa"" Os ministros do TSE viraram as costas para as provas recolhidas ao longo da ação de investigação eleitoral. Benjamin, ministro relator, mostrou (através de uma linguagem simples e objetiva) que houve dinheiro sujo (desviado da Petrobras) injetado aos montes na campanha da chapa PT/PMDB. O Tribunal Superior Eleitoral vai absolver  Dilma e Temer [...] deveriam mudar o nome dessa instituição para TERB (Tribunal Eleitoral da República da Banana). Já dizia Renato Russo: ...ninguém respeita a Constituição, mas todos acreditam no futuro da nação. Que país é esse?",None,https://www.diariodobrasil.org/herman-benjamin-ministro-digno-uma-voz-solitaria-na-luta-contra-a-corrupcao/,politica,09/06/2017,149,122,102,0,4,21,2,37,6,5,4,0,0,8,1.8,621,8.13333,5.09016,0.0,0.189655,0.836066
1362,"Kim responde para senador americano que o chamou de ""gordo louco"" : ""Guardarei um míssil para você"".  Kim Jon-un disse ter um motivo especial para enviar um míssil balístico para ""destruir"" o coração dos Estados Unidos.  McCain disse: ""A China é o único país que pode controlar Kim Jong-un , esse garoto louco que comanda a Coréia do Norte. Eles poderiam parar a economia da Coréia do Norte em uma semana."" O senador também afirmou que Kim é irracional. ""Não estamos lidando com alguém do tipo Joseph Stalin, que tinha uma certa racionalidade em meio a sua loucura"" , disse ele. A KCNA (estatal de notícias norte-coreana) divulgou uma declaração através do Ministério das Relações Exteriores informando que as declarações do senador norte-americano prejudicaram a dignidade do país: ""Os EUA devem saber que um ato de guerra poderá ser declarado a qualquer momento. Eles terão que sofrer amargamente as conseqüências desastrosas pela língua imprudente do senador. Guardarei um míssil somente para ele."" A declaração terminou com uma advertência: ""A Coreia do Norte cumprirá sua missão sagrada de lidar com seu martelo implacável naqueles que ousam   ferir a dignidade da liderança suprema"" John McCain não parou por aí e continuou a provocação através do twitter: ""O quê, eles queriam que eu o chamasse somente de garoto louco?"" Em novembro de 2016, autoridades norte-coreanas pediram ao governo chinês que proibisse os internautas de chamar Kim de ""gordo"" .",None,https://www.diariodobrasil.org/kim-responde-para-senador-americano-que-o-chamou-de-gordo-louco-guardarei-um-missil-para-voce/,sociedade_cotidiano,12/04/2017,273,237,150,0,2,44,2,63,15,9,7,1,0,25,3.27273,1172,21.5455,4.94515,0.00421941,0.224299,0.632911
